NAME	TYPE	RESOURCE GROUP	LOCATION	SUBSCRIPTION	RESOURCE LINK
Application Insights Smart Detection	Action group	rg-vstudio-lab-ai-studio	Global	MPN - Vibi Abraham	rg-vstudio-lab-ai-studio/providers/microsoft.insights/actiongroups/Application Insights Smart Detection
automation-start-stop-vm-vstudio	Automation Account	rg-visualstudio-oct-lab-vm	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.Automation/automationAccounts/automation-start-stop-vm-vstudio
Automation-vStudio-Test	Automation Account	rg-visualstudio-sep-lab-automation	Canada Central	MPN - Vibi Abraham	rg-visualstudio-sep-lab-automation/providers/Microsoft.Automation/automationAccounts/Automation-vStudio-Test
azureaistudio0739417095	Key vault	rg-vstudio-lab-ai-studio	Canada Central	MPN - Vibi Abraham	rg-vstudio-lab-ai-studio/providers/Microsoft.KeyVault/vaults/azureaistudio0739417095
azureaistudio1499624795	Application Insights	rg-vstudio-lab-ai-studio	Canada Central	MPN - Vibi Abraham	rg-vstudio-lab-ai-studio/providers/Microsoft.Insights/components/azureaistudio1499624795
AzureAutomationTutorialWithIdentity	Runbook	rg-visualstudio-oct-lab-vm	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.Automation/automationAccounts/automation-start-stop-vm-vstudio/runbooks/AzureAutomationTutorialWithIdentity
AzureAutomationTutorialWithIdentity	Runbook	rg-visualstudio-sep-lab-automation	Canada Central	MPN - Vibi Abraham	rg-visualstudio-sep-lab-automation/providers/Microsoft.Automation/automationAccounts/Automation-vStudio-Test/runbooks/AzureAutomationTutorialWithIdentity
AzureAutomationTutorialWithIdentityGraphical	Runbook	rg-visualstudio-oct-lab-vm	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.Automation/automationAccounts/automation-start-stop-vm-vstudio/runbooks/AzureAutomationTutorialWithIdentityGraphical
AzureAutomationTutorialWithIdentityGraphical	Runbook	rg-visualstudio-sep-lab-automation	Canada Central	MPN - Vibi Abraham	rg-visualstudio-sep-lab-automation/providers/Microsoft.Automation/automationAccounts/Automation-vStudio-Test/runbooks/AzureAutomationTutorialWithIdentityGraphical
CPU Usage Percentage - vstudio-aks-cluster1	Metric alert rule	rg-vstudio-aks-cluster	Global	MPN - Vibi Abraham	rg-vstudio-aks-cluster/providers/microsoft.insights/metricalerts/CPU Usage Percentage - vstudio-aks-cluster1
CPU Usage Percentage - vstudio-k8s-cluster1	Metric alert rule	rg-vstudio-k8s-cluster	Global	MPN - Vibi Abraham	rg-vstudio-k8s-cluster/providers/microsoft.insights/metricalerts/CPU Usage Percentage - vstudio-k8s-cluster1
defaultazuremonitorworkspace-cca	Data collection endpoint	MA_defaultazuremonitorworkspace-cca_canadacentral_managed	Canada Central	MPN - Vibi Abraham	MA_defaultazuremonitorworkspace-cca_canadacentral_managed/providers/Microsoft.Insights/dataCollectionEndpoints/defaultazuremonitorworkspace-cca
defaultazuremonitorworkspace-cca	Data collection rule	MA_defaultazuremonitorworkspace-cca_canadacentral_managed	Canada Central	MPN - Vibi Abraham	MA_defaultazuremonitorworkspace-cca_canadacentral_managed/providers/Microsoft.Insights/dataCollectionRules/defaultazuremonitorworkspace-cca
defaultazuremonitorworkspace-cca	Azure Monitor workspace	rg-vstudio-aks-cluster	Canada Central	MPN - Vibi Abraham	rg-vstudio-aks-cluster/providers/microsoft.monitor/accounts/defaultazuremonitorworkspace-cca
Failure Anomalies - azureaistudio1499624795	Smart detector alert rule	rg-vstudio-lab-ai-studio	Global	MPN - Vibi Abraham	rg-vstudio-lab-ai-studio/providers/microsoft.alertsmanagement/smartDetectorAlertRules/Failure Anomalies - azureaistudio1499624795
KubernetesRecordingRulesRuleGroup-vstudio-aks-cluster1	Prometheus rule group	rg-vstudio-aks-cluster	Canada Central	MPN - Vibi Abraham	rg-vstudio-aks-cluster/providers/Microsoft.AlertsManagement/prometheusRuleGroups/KubernetesRecordingRulesRuleGroup-vstudio-aks-cluster1
KubernetesRecordingRulesRuleGroup-vstudio-k8s-cluster1	Prometheus rule group	rg-vstudio-k8s-cluster	Canada Central	MPN - Vibi Abraham	rg-vstudio-k8s-cluster/providers/Microsoft.AlertsManagement/prometheusRuleGroups/KubernetesRecordingRulesRuleGroup-vstudio-k8s-cluster1
Memory Working Set Percentage - vstudio-aks-cluster1	Metric alert rule	rg-vstudio-aks-cluster	Global	MPN - Vibi Abraham	rg-vstudio-aks-cluster/providers/microsoft.insights/metricalerts/Memory Working Set Percentage - vstudio-aks-cluster1
Memory Working Set Percentage - vstudio-k8s-cluster1	Metric alert rule	rg-vstudio-k8s-cluster	Global	MPN - Vibi Abraham	rg-vstudio-k8s-cluster/providers/microsoft.insights/metricalerts/Memory Working Set Percentage - vstudio-k8s-cluster1
MSProm-canadacentral-vstudio-aks-cluster1	Data collection endpoint	rg-vstudio-aks-cluster	Canada Central	MPN - Vibi Abraham	rg-vstudio-aks-cluster/providers/Microsoft.Insights/dataCollectionEndpoints/MSProm-canadacentral-vstudio-aks-cluster1
MSProm-canadacentral-vstudio-aks-cluster1	Data collection rule	rg-vstudio-aks-cluster	Canada Central	MPN - Vibi Abraham	rg-vstudio-aks-cluster/providers/Microsoft.Insights/dataCollectionRules/MSProm-canadacentral-vstudio-aks-cluster1
MSProm-canadacentral-vstudio-k8s-cluster1	Data collection endpoint	rg-vstudio-k8s-cluster	Canada Central	MPN - Vibi Abraham	rg-vstudio-k8s-cluster/providers/Microsoft.Insights/dataCollectionEndpoints/MSProm-canadacentral-vstudio-k8s-cluster1
MSProm-canadacentral-vstudio-k8s-cluster1	Data collection rule	rg-vstudio-k8s-cluster	Canada Central	MPN - Vibi Abraham	rg-vstudio-k8s-cluster/providers/Microsoft.Insights/dataCollectionRules/MSProm-canadacentral-vstudio-k8s-cluster1
